Store,Country,State,City,Category,"Clothing Type","Store Number","Postal Code","Store Type","Store Open Date","Selling Area Size (sq ft)","Store Manager","Manager ID","Store Address","Contact Information","Operating Hours","Staff Count","Parking Availability","Security Features","Order ID","Order Date",Month,"Customer ID","Customer Name","Product ID",Price,Quantity,"Sales Profit"
Zudio,India,Karnataka,Jalna,Women,Dresses,30,411084,Owned,2022-06-04,950,"Lori Hill",M77,"PSC 4147, Box 1289 APO AA 19737",(014)392-4112x860,"10 AM - 7 PM",17,"Not Available",Alarm,88240,2024-11-06,November,233084,"Michele Ochoa",354,1958,5,3916
Zudio,India,Gujarat,Patna,Kids,Skirts,48,404562,Owned,2020-12-19,1200,"Deborah Jackson",M89,"0189 Anthony Stravenue Apt. 861 Maryhaven, WV 77722",+1-838-710-2029,"10 AM - 9 PM",6,"Not Available",Alarm,78145,2024-06-17,June,926472,"Daniel Jimenez",741,2078,1,831.2
Zudio,India,"Uttar Pradesh",Kolkata,Men,Hoodies,97,437773,Rented,2023-09-04,1100,"Adam Anderson",M71,"Unit 8794 Box 3846 DPO AP 31354",523.732.1176x07696,"10 AM - 9 PM",18,"Not Available",CCTV,33363,2024-08-17,August,853255,"Steven Davis",607,1445,2,1156
Zudio,India,"West Bengal",Kolkata,Women,Dresses,93,431725,Owned,2024-04-11,1400,"Anthony Smith",M40,"473 Wise Summit Lake Carrie, IN 32156",+1-846-657-3934x68953,"11 AM - 8 PM",13,"Not Available",CCTV,46682,2024-03-27,March,106146,"Derek Orozco",991,2469,6,5925.6
Zudio,India,"West Bengal",Guwahati,Men,Dresses,51,415370,Owned,2022-05-29,1400,"Matthew Romero",M24,"0557 Cameron Trail Apt. 690 South Samuel, TX 36835",(336)147-6341,"10 AM - 7 PM",19,"Not Available","CCTV, Alarm",58242,2024-04-08,April,264070,"Victor Arnold",479,1105,6,2652
Zudio,India,"West Bengal",Nashik,Kids,Jackets,71,417269,Owned,2021-06-17,800,"Chelsea Hill",M14,"3318 Carter Burgs Apt. 327 North Richardshire, CT 47189",+1-149-000-5823,"9 AM - 8 PM",14,Available,CCTV,78800,2024-04-25,April,326466,"James Bennett",295,2206,4,3529.6000000000004
Zudio,India,Maharashtra,Lucknow,Kids,Jackets,44,439184,Rented,2021-04-29,800,"Martin Hernandez",M91,"461 Shannon View Apt. 903 Matthewstown, ID 92836",+1-886-886-9185x9650,"11 AM - 8 PM",6,Available,CCTV,43329,2024-06-19,June,724817,"Benjamin Barrett",222,2848,4,4556.8
Zudio,India,"West Bengal",Hyderabad,Women,Tops,74,417964,Owned,2021-11-16,950,"Denise Molina",M54,"75265 Taylor Stream Suite 679 Juarezview, ID 78431",(646)899-9850,"10 AM - 9 PM",18,Available,CCTV,23062,2024-06-11,June,870587,"Matthew Cervantes",595,1694,8,5420.8
Zudio,India,Karnataka,Ahmedabad,Men,Shoes,71,414510,Rented,2023-11-23,1400,"Curtis Henson",M87,"7868 Bradley Key Suite 443 New Tracyfort, WV 43313",(337)998-4800x283,"10 AM - 7 PM",5,Available,"CCTV, Alarm",72223,2024-01-24,January,790306,"Shelley Lopez",243,2024,1,809.6
Zudio,India,Karnataka,Hyderabad,Kids,Jeans,26,411577,Rented,2021-09-02,1400,"Danielle Ballard",M82,"Unit 4120 Box 3354 DPO AP 74324",(315)462-2864x05458,"10 AM - 9 PM",8,Available,None,35882,2024-02-02,February,943541,"Brandon Sampson",910,2581,6,6194.400000000001
